gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,ACCESSORIES,crossbody bag,crossbody bag adjustable strap lining zip closureheight x length x width x x cm x x,Accessories,bag,bag crossbody bag,10-15°C cool weather
women,ACCESSORIES,tote interior bag,tote bag shoulder strap inner bag gather drawstre fasteningheight x length x width x x cm x x,Accessories,bag tote,bag tote tote interior bag,10-15°C cool weather
women,ACCESSORIES,leather belt,leather belt fasten metal buckle belt loop,Accessories,leather belt,leather belt leather belt,15-20°C mild weather
women,ACCESSORIES,metal necklace,rigid metal necklace,Accessories,necklace,necklace metal necklace,10-15°C cool weather
women,ACCESSORIES,pack hoop earring,metal earring click fasten metal earring rhinestone appliqué click fasten metal earring rhinestone appliqué pushback fasten,Accessories,earring,earring pack hoop earring,15-20°C mild weather
women,ACCESSORIES,mini hoop earring,small metal hoop earring pushback closure,Accessories,earring mini,earring mini mini hoop earring,15-20°C mild weather
women,ACCESSORIES,pack hoop earring,metal earring pushback fasten metal earring pushback fasten,Accessories,earring,earring pack hoop earring,15-20°C mild weather
women,ACCESSORIES,mini city bag,mini city bag handle adjustable crossbody shoulder strap zip closure inner pouch gather drawstre closureheight x length x width x x cm x x view,Accessories,bag mini,bag mini mini city bag,15-20°C mild weather
women,ACCESSORIES,pack bead rhinestone chain,pack chain thin metal bead chain lobster clasp fasten thin metal chain rhinestone appliqués lobster clasp fasteningview,Accessories,, pack bead rhinestone chain,15-20°C mild weather
women,ACCESSORIES,pack fresh water pearl bead necklace,twopack necklace metal necklace metal necklace faux pearl bead appliqué,Accessories,faux necklace water,faux necklace water pack fresh water pearl bead necklace,10-15°C cool weather
women,ACCESSORIES,tote bag topstitching,tote bag topstitching detail shoulder strap magnetic clasp closure height x length x width x x cm x x,Accessories,bag tote,bag tote tote bag topstitching,15-20°C mild weather
women,ACCESSORIES,twisted earring,twisted dangle earring pushback fasten,Accessories,earring,earring twisted earring,10-15°C cool weather
women,ACCESSORIES,roll hoop earring,twisted metal hoop earring pushback closure,Accessories,earring,earring roll hoop earring,15-20°C mild weather
men,ACCESSORIES,rectangular sunglass,sunglass acetate frame polarise lense case includeduvuva protection category origin special collectionview,Accessories,acetate,acetate rectangular sunglass,10-15°C cool weather
men,ACCESSORIES,pack striped poplin boxer,pack pair boxer poplin fabric elastic waistband,Accessories,poplin,poplin pack striped poplin boxer,10-15°C cool weather
men,ACCESSORIES,pack striped poplin boxer,pack pair boxer cotton poplin fabric elasticate waistband,Accessories,cotton poplin,cotton poplin pack striped poplin boxer,10-15°C cool weather
men,ACCESSORIES,pack short poplin boxer,pack pair short boxer cotton poplin fabric elasticate waistband,Accessories,cotton poplin short short,cotton poplin short short pack short poplin boxer,10-15°C cool weather
men,ACCESSORIES,pack boxer cutwork embroidery,pack pair boxer poplin elasticate waistband cutwork embroidery garment,Accessories,poplin,poplin pack boxer cutwork embroidery,10-15°C cool weather
men,ACCESSORIES,pack basic boxer,pack pair boxer elastic waistband,Accessories,, pack basic boxer,10-15°C cool weather
men,ACCESSORIES,pack basic boxer,pack pair boxer elasticate waistband,Accessories,, pack basic boxer,10-15°C cool weather
men,ACCESSORIES,pack soft boxer,pack boxer elastic waistband fabric velvety finish,Accessories,, pack soft boxer,10-15°C cool weather
men,ACCESSORIES,pack soft boxer,pack boxer velvetyfinish fabric elastic waistband,Accessories,, pack soft boxer,10-15°C cool weather
